US dollar1.0745
Japanese yen139.85
Bulgarian lev1.9558
Czech koruna23.682
Danish krone7.4519
Pound sterling0.87940
Hungarian forint386.80
Polish zloty4.6865
Romanian leu4.9305
Swedish krona11.2080
Swiss franc0.9874
Icelandic krona150.10
Norwegian krone11.3065
Turkish lira20.4882
Australian dollar1.6189
Brazilian real5.7298
Canadian dollar1.4816
Chinese yuan renminbi7.3826
Hong Kong dollar8.4344
Indonesian rupiah16316.05
Israeli shekel3.8755
Indian rupee88.5650
South Korean won1401.12
Mexican peso20.0854
Malaysian ringgit4.7579
New Zealand dollar1.7329
Philippine peso58.421
Singapore dollar1.4330
Thai baht36.748
South African rand19.5755
